,X,Dep,Code
12,47.0,19.1,F
13,47.0,18.1,F
14,47.0,17.1,F
15,47.0,16.1,R
16,47.0,15.1,R
17,47.0,14.1,R
18,47.0,13.1,R
19,47.0,12.1,R
20,47.0,11.1,R
21,47.0,10.1,R
22,47.0,9.1,L
23,47.0,8.100000000000001,L
24,47.0,7.100000000000001,L
25,47.0,6.100000000000001,L
26,47.0,5.100000000000001,L
27,63.0,19.2,F
28,63.0,18.2,F
29,63.0,17.2,F
30,63.0,16.2,F
31,63.0,15.2,F
32,63.0,14.2,R
33,63.0,13.2,R
34,63.0,12.2,R
35,63.0,11.2,L
36,63.0,10.2,L
37,63.0,9.2,S
38,63.0,8.2,S
39,63.0,7.199999999999999,S
40,63.0,6.199999999999999,S
41,63.0,5.199999999999999,S
57,75.0,19.41,F
58,75.0,18.41,F
59,75.0,17.41,F
60,75.0,16.41,R
61,75.0,15.41,R
62,75.0,14.41,R
63,75.0,13.41,S
64,75.0,12.41,S
65,75.0,11.41,S
66,75.0,10.41,S
67,75.0,9.41,S
68,75.0,8.41,S
69,75.0,7.41,S
70,75.0,6.41,S
71,75.0,5.41,L
72,115.0,19.44,F
73,115.0,18.44,F
74,115.0,17.44,F
75,115.0,16.44,F
76,115.0,15.44,R
77,115.0,14.44,S
78,115.0,13.44,S
79,115.0,12.44,S
80,115.0,11.44,S
81,115.0,10.44,S
82,115.0,9.44,S
83,115.0,8.440000000000001,L
84,115.0,7.440000000000001,L
85,115.0,6.440000000000001,L
86,115.0,5.440000000000001,L
87,127.0,19.26,F
88,127.0,18.26,F
89,127.0,17.26,F
90,127.0,16.26,F
91,127.0,15.260000000000002,F
92,127.0,14.260000000000002,S
93,127.0,13.260000000000002,S
94,127.0,12.260000000000002,S
95,127.0,11.260000000000002,S
96,127.0,10.260000000000002,S
97,127.0,9.260000000000002,S
98,127.0,8.260000000000002,L
99,127.0,7.260000000000002,L
100,127.0,6.260000000000002,L
101,127.0,5.260000000000002,L
